90PT03W6-M03DM0,P500MV-5850332X,ASUS ExpertCenter P500 Mini Tower,Trusted by IT Experts. Built for Worry-Free Business.,"- Best Performance-to-Cost Value : Up to Intel® Core™ 7 with DDR5 for high performance at an affordable cost for business efficiency
- Compact & Upgradeable Design : Space-saving 15L mini tower with USB-C, tool-less access, dual SODIMM, and dual storage support
- Business-Grade Security & Reliability : McAfee® protection, 2-year full parts warranty, and Accidental Damage Protection included.
- Enhanced Productivity Experience : Powered by MyASUS and ASUS AI ExpertMeet for smarter collaboration experience",,,90PF05I1-M03MX0,P500MV-5850332X,4711636336161,199291336162,5.997,VSPF05I0-BU0010,15L,Windows 11 Pro,Mini tower,Windows 11 Pro,1-month trial for new Microsoft 365 customers. Credit card required.,"Intel® Core™ 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 Cores, 12 Threads)",Air Cooler,8GB DDR5 SO-DIMM,"Memory speed is 5600 MT/s, and run at 5600 MT/s.",64GB,Intel® UHD Graphics,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,Without optical drive,"Intel WGI219V 10/100/1000 Mbps, non-vPro",High Definition 7.1 Channel Audio,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"330W power supply (80+ Platinum, peak 660W)","1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x 7.1 channel audio (microphone, line-out, Line-in)
1x Kensington lock
4x USB 2.0 Type-A","1x 3.5mm combo audio jack
1x USB 3.2 Gen 2 Type-C
2x USB 3.2 Gen 2 Type-A","3.5"" x 1",2 x SATA 6.0Gb/s ports,"1x PCIe® 4.0 x 16 (operating at PCIe® 4.0 x8)
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR5 SO-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)","3.5"" HDD assembly kit
VGA cable assembly kit","15.50 x 29.60 x 34.70 cm (6.10"" x 11.65"" x 13.66"")",06.00 kg (13.23 lbs),"System diagnosis
Fan profile
AppDeals",,MyASUS,"1-month Adobe Creative Cloud Hard Bundle

*Terms and exclusions apply. Offer only available in eligible markets. Eligible markets are determined at activation, and varies by region, device, and time.","Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)",McAfee® 1 years,"EPEAT Silver
Energy star 8.0
REACH
RoHS","1Y OnSite Service
 Accidental Damage Protection + 1Y OnSite Service","ACX11-004802PF//1Y Extension
ACX13-007943PF//2Y OnSite Service*upgrade
ACX13-007990PF//3Y Extension
 5Y OnSite Service*upgrade
ACX13-0079H0PF//2Y Extension
 4Y OnSite Service*upgrade
ACX14-010334PF//2Y Extension
ACX14-010344PF//3Y Extension
ACX15-011100PF//1Y Extension
 3Y OnSite Service
 3Y Storage Retention*upgrade
ACX15-022200PF//2Y OnSite Service*upgrade
 2Y Storage Retention*upgrade
ACX15-022210PF//2Y Extension
 4Y OnSite Service
 4Y Storage Retention*upgrade
ACX15-022220PF//3Y Extension
 5Y OnSite Service
 5Y Storage Retention*upgrade
*If you would like to know the details, please contact your sales teams.",65% (Inkwell Grey)、60% (White) PCR recycled plastic front bezel,65% (Inkwell Grey)、60% (White) PCR recycled plastic I/O bezel,,,,,,,,,,,,,,,
90PT03W8-M03DN0,P500SV-5850182WS,ASUS ExpertCenter P500 SFF,Trusted by IT Experts. Built for Worry-Free Business.,"- Best Performance-to-Cost Value : Up to Intel® Core™ 7 with DDR5 for high performance at an affordable cost for business efficiency
- Compact & Space Saving  : 8.6L Small Form Factor with USB-C, tool-less access, dual SODIMM, and dual storage support
- Business-Grade Security & Reliability : McAfee® protection, 2-year full parts warranty, and Accidental Damage Protection included.
- Enhanced Productivity Experience : Powered by MyASUS and ASUS AI ExpertMeet for smarter collaboration experience",,,90PF05A1-M00VP0,P500SV-5850182WS,4711636336192,199291336193,5.057,VSPF05A1-BU0010,8.6L,Gray,Small form factor,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"Microsoft Office Home 2024
Microsoft 365 Basic","Intel® Core™ 5 Processor 210H 2.2 GHz (12MB Cache, up to 4.8 GHz, 8 Cores, 12 Threads)",Air Cooler,8GB DDR5 SO-DIMM,"Memory speed is 5600 MT/s, but run at 4800~5200 MT/s.",64GB,Intel® Graphics,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,Without optical drive,"Intel WGI219V 10/100/1000 Mbps, non-vPro",High Definition 7.1 Channel Audio,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"180W power supply (80+ Bronze, peak 228W)","1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x 7.1 channel audio (microphone, line-out, Line-in)
1x Kensington lock
4x USB 2.0 Type-A","1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A","3.5"" x 1",2 x SATA 6.0Gb/s ports,"1x PCIe® 4.0 x 16 (operating at PCIe® 4.0 x8)
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR5 SO-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)","3.5"" HDD assembly kit","09.30 x 29.60 x 30.90 cm (3.66"" x 11.65"" x 12.17"")",05.06 kg (11.16 lbs),"System diagnosis
Fan profile
AppDeals",N/A,MyASUS,"1-month Adobe Creative Cloud Hard Bundle

*Terms and exclusions apply. Offer only available in eligible markets. Eligible markets are determined at activation, and varies by region, device, and time.","Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)",McAfee® 1 years,"EPEAT Silver
Energy star 9.0
REACH
RoHS","1Y OnSite Service
 Accidental Damage Protection + 1Y OnSite Service","ACX11-004802PF//1Y Extension
ACX13-007943PF//2Y OnSite Service*upgrade
ACX13-007990PF//3Y Extension
 5Y OnSite Service*upgrade
ACX13-0079H0PF//2Y Extension
 4Y OnSite Service*upgrade
ACX14-010334PF//2Y Extension
ACX14-010344PF//3Y Extension
ACX15-011100PF//1Y Extension
 3Y OnSite Service
 3Y Storage Retention*upgrade
ACX15-022200PF//2Y OnSite Service*upgrade
 2Y Storage Retention*upgrade
ACX15-022210PF//2Y Extension
 4Y OnSite Service
 4Y Storage Retention*upgrade
ACX15-022220PF//3Y Extension
 5Y OnSite Service
 5Y Storage Retention*upgrade
*If you would like to know the details, please contact your sales teams.",65% (Inkwell Grey)、60% (White) PCR recycled plastic front bezel,65% (Inkwell Grey)、60% (White) PCR recycled plastic I/O bezel,,,,,,,,,,,,,,,
90PT03W5-M03NE0,P500SV-7850182WS,ASUS ExpertCenter P500 SFF,Trusted by IT Experts. Built for Worry-Free Business.,"- Best Performance-to-Cost Value : Up to Intel® Core™ 7 with DDR5 for high performance at an affordable cost for business efficiency
- Compact & Space Saving  : 8.6L Small Form Factor with USB-C, tool-less access, dual SODIMM, and dual storage support
- Business-Grade Security & Reliability : McAfee® protection, 2-year full parts warranty, and Accidental Damage Protection included.
- Enhanced Productivity Experience : Powered by MyASUS and ASUS AI ExpertMeet for smarter collaboration experience",,,90PF05A1-M00ZT0,P500SV-7850182WS,4711636336208,199291336209,5.057,VSPF05A1-BU0010,8.6L,Gray,Small form factor,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"Microsoft Office Home 2024
Microsoft 365 Basic","Intel® Core™ 7 Processor 240H 2.5 GHz (24MB Cache, up to 5.2 GHz, 10 Cores, 16 Threads)",Air Cooler,8GB DDR5 SO-DIMM,"Memory speed is 5600 MT/s, and run at 5600 MT/s.",64GB,Intel® Graphics,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,Without optical drive,"Intel WGI219V 10/100/1000 Mbps, non-vPro",High Definition 7.1 Channel Audio,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"180W power supply (80+ Bronze, peak 228W)","1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x 7.1 channel audio (microphone, line-out, Line-in)
1x Kensington lock
4x USB 2.0 Type-A","1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A","3.5"" x 1",2 x SATA 6.0Gb/s ports,"1x PCIe® 4.0 x 16 (operating at PCIe® 4.0 x8)
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR5 SO-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)","3.5"" HDD assembly kit","09.30 x 29.60 x 30.90 cm (3.66"" x 11.65"" x 12.17"")",05.06 kg (11.16 lbs),"System diagnosis
Fan profile
AppDeals",N/A,MyASUS,"1-month Adobe Creative Cloud Hard Bundle

*Terms and exclusions apply. Offer only available in eligible markets. Eligible markets are determined at activation, and varies by region, device, and time.","Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)",McAfee® 1 years,"EPEAT Silver
Energy star 9.0
REACH
RoHS","1Y OnSite Service
 Accidental Damage Protection + 1Y OnSite Service","ACX11-004802PF//1Y Extension
ACX13-007943PF//2Y OnSite Service*upgrade
ACX13-007990PF//3Y Extension
 5Y OnSite Service*upgrade
ACX13-0079H0PF//2Y Extension
 4Y OnSite Service*upgrade
ACX14-010334PF//2Y Extension
ACX14-010344PF//3Y Extension
ACX15-011100PF//1Y Extension
 3Y OnSite Service
 3Y Storage Retention*upgrade
ACX15-022200PF//2Y OnSite Service*upgrade
 2Y Storage Retention*upgrade
ACX15-022210PF//2Y Extension
 4Y OnSite Service
 4Y Storage Retention*upgrade
ACX15-022220PF//3Y Extension
 5Y OnSite Service
 5Y Storage Retention*upgrade
*If you would like to know the details, please contact your sales teams.",65% (Inkwell Grey)、60% (White) PCR recycled plastic front bezel,65% (Inkwell Grey)、60% (White) PCR recycled plastic I/O bezel,,,,,,,,,,,,,,,
90PF05A1-M00ZT0,P500MV-7850332WS,ASUS ExpertCenter P500 Mini Tower,Trusted by IT Experts. Built for Worry-Free Business.,"- Best Performance-to-Cost Value : Up to Intel® Core™ 7 with DDR5 for high performance at an affordable cost for business efficiency
- Compact & Upgradeable Design : Space-saving 15L mini tower with USB-C, tool-less access, dual SODIMM, and dual storage support
- Business-Grade Security & Reliability : McAfee® protection, 2-year full parts warranty, and Accidental Damage Protection included.
- Enhanced Productivity Experience : Powered by MyASUS and ASUS AI ExpertMeet for smarter collaboration experience",,,90PF05I1-M03X50,P500MV-7850332WS,4711636336178,199291336179,5.997,VSPF05I0-BU0010,15L,Gray,Mini tower,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"Microsoft Office Home 2024
Microsoft 365 Basic","Intel® Core™ 7 Processor 240H 2.5 GHz (24MB Cache, up to 5.2 GHz, 10 Cores, 16 Threads)",Air Cooler,8GB DDR5 SO-DIMM,"Memory speed is 5600 MT/s, and run at 5600 MT/s.",64GB,Intel® UHD Graphics,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,Without optical drive,"Intel WGI219V 10/100/1000 Mbps, non-vPro",High Definition 7.1 Channel Audio,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"330W power supply (80+ Platinum, peak 660W)","1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x 7.1 channel audio (microphone, line-out, Line-in)
1x Kensington lock
4x USB 2.0 Type-A","1x 3.5mm combo audio jack
1x USB 3.2 Gen 2 Type-C
2x USB 3.2 Gen 2 Type-A","3.5"" x 1",2 x SATA 6.0Gb/s ports,"1x PCIe® 4.0 x 16 (operating at PCIe® 4.0 x8)
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR5 SO-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)","3.5"" HDD assembly kit
VGA cable assembly kit","15.50 x 29.60 x 34.70 cm (6.10"" x 11.65"" x 13.66"")",06.00 kg (13.23 lbs),"System diagnosis
Fan profile
AppDeals",,MyASUS,"1-month Adobe Creative Cloud Hard Bundle

*Terms and exclusions apply. Offer only available in eligible markets. Eligible markets are determined at activation, and varies by region, device, and time.","Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)",McAfee® 1 years,"EPEAT Silver
Energy star 8.0
REACH
RoHS","1Y OnSite Service
 Accidental Damage Protection + 1Y OnSite Service","ACX11-004802PF//1Y Extension
ACX13-007943PF//2Y OnSite Service*upgrade
ACX13-007990PF//3Y Extension
 5Y OnSite Service*upgrade
ACX13-0079H0PF//2Y Extension
 4Y OnSite Service*upgrade
ACX14-010334PF//2Y Extension
ACX14-010344PF//3Y Extension
ACX15-011100PF//1Y Extension
 3Y OnSite Service
 3Y Storage Retention*upgrade
ACX15-022200PF//2Y OnSite Service*upgrade
 2Y Storage Retention*upgrade
ACX15-022210PF//2Y Extension
 4Y OnSite Service
 4Y Storage Retention*upgrade
ACX15-022220PF//3Y Extension
 5Y OnSite Service
 5Y Storage Retention*upgrade
*If you would like to know the details, please contact your sales teams.",65% (Inkwell Grey)、60% (White) PCR recycled plastic front bezel,65% (Inkwell Grey)、60% (White) PCR recycled plastic I/O bezel,,,,,,,,,,,,,,,
90PT03W5-M03NK0,P500MV-7850332X,ASUS ExpertCenter P500 Mini Tower,Trusted by IT Experts. Built for Worry-Free Business.,"- Best Performance-to-Cost Value : Up to Intel® Core™ 7 with DDR5 for high performance at an affordable cost for business efficiency
- Compact & Upgradeable Design : Space-saving 15L mini tower with USB-C, tool-less access, dual SODIMM, and dual storage support
- Business-Grade Security & Reliability : McAfee® protection, 2-year full parts warranty, and Accidental Damage Protection included.
- Enhanced Productivity Experience : Powered by MyASUS and ASUS AI ExpertMeet for smarter collaboration experience",,,90PF05I1-M040W0,P500MV-7850332X,4711636336185,199291336186,5.997,VSPF05I0-BU0010,15L,Gray,Mini tower,Windows 11 Pro,1-month trial for new Microsoft 365 customers. Credit card required.,"Intel® Core™ 7 Processor 240H 2.5 GHz (24MB Cache, up to 5.2 GHz, 10 Cores, 16 Threads)",Air Cooler,8GB DDR5 SO-DIMM,"Memory speed is 5600 MT/s, and run at 5600 MT/s.",64GB,Intel® UHD Graphics,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,Without optical drive,"Intel WGI219V 10/100/1000 Mbps, non-vPro",High Definition 7.1 Channel Audio,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"330W power supply (80+ Platinum, peak 660W)","1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x 7.1 channel audio (microphone, line-out, Line-in)
1x Kensington lock
4x USB 2.0 Type-A","1x 3.5mm combo audio jack
1x USB 3.2 Gen 2 Type-C
2x USB 3.2 Gen 2 Type-A","3.5"" x 1",2 x SATA 6.0Gb/s ports,"1x PCIe® 4.0 x 16 (operating at PCIe® 4.0 x8)
1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR5 SO-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)","3.5"" HDD assembly kit
VGA cable assembly kit","15.50 x 29.60 x 34.70 cm (6.10"" x 11.65"" x 13.66"")",06.00 kg (13.23 lbs),"System diagnosis
Fan profile
AppDeals",,MyASUS,"1-month Adobe Creative Cloud Hard Bundle

*Terms and exclusions apply. Offer only available in eligible markets. Eligible markets are determined at activation, and varies by region, device, and time.","Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)",McAfee® 1 years,"EPEAT Silver
Energy star 8.0
REACH
RoHS","1Y OnSite Service
 Accidental Damage Protection + 1Y OnSite Service","ACX11-004802PF//1Y Extension
ACX13-007943PF//2Y OnSite Service*upgrade
ACX13-007990PF//3Y Extension
 5Y OnSite Service*upgrade
ACX13-0079H0PF//2Y Extension
 4Y OnSite Service*upgrade
ACX14-010334PF//2Y Extension
ACX14-010344PF//3Y Extension
ACX15-011100PF//1Y Extension
 3Y OnSite Service
 3Y Storage Retention*upgrade
ACX15-022200PF//2Y OnSite Service*upgrade
 2Y Storage Retention*upgrade
ACX15-022210PF//2Y Extension
 4Y OnSite Service
 4Y Storage Retention*upgrade
ACX15-022220PF//3Y Extension
 5Y OnSite Service
 5Y Storage Retention*upgrade
*If you would like to know the details, please contact your sales teams.",65% (Inkwell Grey)、60% (White) PCR recycled plastic front bezel,65% (Inkwell Grey)、60% (White) PCR recycled plastic I/O bezel,,,,,,,,,,,,,,,
90PF05I1-M040W0,P500MV-3850182WS,ASUS ExpertCenter P500 Mini Tower,Trusted by IT Experts. Built for Worry-Free Business.,"- Best Performance-to-Cost Value : Up to Intel® Core™ 7 with DDR5 for high performance at an affordable cost for business efficiency
- Compact & Upgradeable Design : Space-saving 15L mini tower with USB-C, tool-less access, dual SODIMM, and dual storage support
- Business-Grade Security & Reliability : McAfee® protection, 2-year full parts warranty, and Accidental Damage Protection included.
- Enhanced Productivity Experience : Powered by MyASUS and ASUS AI ExpertMeet for smarter collaboration experience",,,90PF05I1-M041L0,P500MV-3850182WS,4711636379168,199291379169,5.997,VSPF05I0-BU0010,15L,Gray,Mini tower,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"Microsoft Office Home 2024
Microsoft 365 Basic","Intel® Core™ 3 Processor 100U 1.2 GHz (10MB Cache, up to 4.7 GHz, 6 Cores, 8 Threads)",Air Cooler,8GB DDR5 SO-DIMM,"Memory speed is 5600 MT/s, and run at 5600 MT/s.",64GB,Intel® UHD Graphics,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,Without optical drive,"Intel WGI219V 10/100/1000 Mbps, non-vPro",High Definition 7.1 Channel Audio,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"180W power supply (80+ Bronze, peak 228W)","1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x 7.1 channel audio (microphone, line-out, Line-in)
1x Kensington lock
4x USB 2.0 Type-A","1x 3.5mm combo audio jack
1x USB 3.2 Gen 2 Type-C
2x USB 3.2 Gen 2 Type-A","3.5"" x 1",2 x SATA 6.0Gb/s ports,"1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR5 SO-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)","3.5"" HDD assembly kit","15.50 x 29.60 x 34.70 cm (6.10"" x 11.65"" x 13.66"")",06.00 kg (13.23 lbs),"System diagnosis
Fan profile
AppDeals",,MyASUS,"1-month Adobe Creative Cloud Hard Bundle

*Terms and exclusions apply. Offer only available in eligible markets. Eligible markets are determined at activation, and varies by region, device, and time.","Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)",McAfee® 1 years,"EPEAT Silver
Energy star 8.0
REACH
RoHS","1Y OnSite Service
 Accidental Damage Protection + 1Y OnSite Service","ACX11-004802PF//1Y Extension
ACX13-007943PF//2Y OnSite Service*upgrade
ACX13-007990PF//3Y Extension
 5Y OnSite Service*upgrade
ACX13-0079H0PF//2Y Extension
 4Y OnSite Service*upgrade
ACX14-010334PF//2Y Extension
ACX14-010344PF//3Y Extension
ACX15-011100PF//1Y Extension
 3Y OnSite Service
 3Y Storage Retention*upgrade
ACX15-022200PF//2Y OnSite Service*upgrade
 2Y Storage Retention*upgrade
ACX15-022210PF//2Y Extension
 4Y OnSite Service
 4Y Storage Retention*upgrade
ACX15-022220PF//3Y Extension
 5Y OnSite Service
 5Y Storage Retention*upgrade
*If you would like to know the details, please contact your sales teams.",65% (Inkwell Grey)、60% (White) PCR recycled plastic front bezel,65% (Inkwell Grey)、60% (White) PCR recycled plastic I/O bezel,,,,,,,,,,,,,,,
90PF05I1-M041L0,P500SV-3850182WS,ASUS ExpertCenter P500 SFF,Trusted by IT Experts. Built for Worry-Free Business.,"- Best Performance-to-Cost Value : Up to Intel® Core™ 7 with DDR5 for high performance at an affordable cost for business efficiency
- Compact & Space Saving  : 8.6L Small Form Factor with USB-C, tool-less access, dual SODIMM, and dual storage support
- Business-Grade Security & Reliability : McAfee® protection, 2-year full parts warranty, and Accidental Damage Protection included.
- Enhanced Productivity Experience : Powered by MyASUS and ASUS AI ExpertMeet for smarter collaboration experience",,,90PF05A1-M01340,P500SV-3850182WS,4711636378918,199291378919,5.057,VSPF05A1-BU0010,8.6L,Gray,Small form factor,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"Microsoft Office Home 2024
Microsoft 365 Basic","Intel® Core™ 3 Processor 100U 1.2 GHz (10MB Cache, up to 4.7 GHz, 6 Cores, 8 Threads)",Air Cooler,8GB DDR5 SO-DIMM,"Memory speed is 5600 MT/s, but run at 4800~5200 MT/s.",64GB,Intel® Graphics,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,Without optical drive,"Intel WGI219V 10/100/1000 Mbps, non-vPro",High Definition 7.1 Channel Audio,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"180W power supply (80+ Bronze, peak 228W)","1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x 7.1 channel audio (microphone, line-out, Line-in)
1x Kensington lock
4x USB 2.0 Type-A","1x 3.5mm combo audio jack
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A","3.5"" x 1",2 x SATA 6.0Gb/s ports,"1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR5 SO-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)","3.5"" HDD assembly kit","09.30 x 29.60 x 30.90 cm (3.66"" x 11.65"" x 12.17"")",05.06 kg (11.16 lbs),"System diagnosis
Fan profile
AppDeals",N/A,MyASUS,"1-month Adobe Creative Cloud Hard Bundle

*Terms and exclusions apply. Offer only available in eligible markets. Eligible markets are determined at activation, and varies by region, device, and time.","Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)",McAfee® 1 years,"EPEAT Silver
Energy star 9.0
REACH
RoHS","1Y OnSite Service
 Accidental Damage Protection + 1Y OnSite Service","ACX11-004802PF//1Y Extension
ACX13-007943PF//2Y OnSite Service*upgrade
ACX13-007990PF//3Y Extension
 5Y OnSite Service*upgrade
ACX13-0079H0PF//2Y Extension
 4Y OnSite Service*upgrade
ACX14-010334PF//2Y Extension
ACX14-010344PF//3Y Extension
ACX15-011100PF//1Y Extension
 3Y OnSite Service
 3Y Storage Retention*upgrade
ACX15-022200PF//2Y OnSite Service*upgrade
 2Y Storage Retention*upgrade
ACX15-022210PF//2Y Extension
 4Y OnSite Service
 4Y Storage Retention*upgrade
ACX15-022220PF//3Y Extension
 5Y OnSite Service
 5Y Storage Retention*upgrade
*If you would like to know the details, please contact your sales teams.",65% (Inkwell Grey)、60% (White) PCR recycled plastic front bezel,65% (Inkwell Grey)、60% (White) PCR recycled plastic I/O bezel,,,,,,,,,,,,,,,
90PF05A1-M01340,P500MV-3850182X,ASUS ExpertCenter P500 Mini Tower,Trusted by IT Experts. Built for Worry-Free Business.,"- Best Performance-to-Cost Value : Up to Intel® Core™ 7 with DDR5 for high performance at an affordable cost for business efficiency
- Compact & Upgradeable Design : Space-saving 15L mini tower with USB-C, tool-less access, dual SODIMM, and dual storage support
- Business-Grade Security & Reliability : McAfee® protection, 2-year full parts warranty, and Accidental Damage Protection included.
- Enhanced Productivity Experience : Powered by MyASUS and ASUS AI ExpertMeet for smarter collaboration experience",,,90PF05I1-M041P0,P500MV-3850182X,4711636379175,199291379176,5.997,VSPF05I0-BU0010,15L,Gray,Mini tower,Windows 11 Pro,1-month trial for new Microsoft 365 customers. Credit card required.,"Intel® Core™ 3 Processor 100U 1.2 GHz (10MB Cache, up to 4.7 GHz, 6 Cores, 8 Threads)",Air Cooler,8GB DDR5 SO-DIMM,"Memory speed is 5600 MT/s, and run at 5600 MT/s.",64GB,Intel® UHD Graphics,512GB M.2 2280 NVMe™ PCIe® 4.0 SSD,Without optical drive,"Intel WGI219V 10/100/1000 Mbps, non-vPro",High Definition 7.1 Channel Audio,Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.4 Wireless Card,"180W power supply (80+ Bronze, peak 228W)","1x RJ45 Gigabit Ethernet
1x HDMI 1.4
1x Displayport 1.4
1x 7.1 channel audio (microphone, line-out, Line-in)
1x Kensington lock
4x USB 2.0 Type-A","1x 3.5mm combo audio jack
1x USB 3.2 Gen 2 Type-C
2x USB 3.2 Gen 2 Type-A","3.5"" x 1",2 x SATA 6.0Gb/s ports,"1x M.2 connector for WiFi
2x M.2 2280 connector for storage
2x DDR5 SO-DIMM slot","Wired keyboard (USB)
Wired optical mouse (USB)","3.5"" HDD assembly kit","15.50 x 29.60 x 34.70 cm (6.10"" x 11.65"" x 13.66"")",06.00 kg (13.23 lbs),"System diagnosis
Fan profile
AppDeals",,MyASUS,"1-month Adobe Creative Cloud Hard Bundle

*Terms and exclusions apply. Offer only available in eligible markets. Eligible markets are determined at activation, and varies by region, device, and time.","Discrete Trusted Platform Module (TPM) 2.0
HDD User Password Protection and Security
Kensington Security Slot™(7x 3mm)",McAfee® 1 years,"EPEAT Silver
Energy star 8.0
REACH
RoHS","1Y OnSite Service
 Accidental Damage Protection + 1Y OnSite Service","ACX11-004802PF//1Y Extension
ACX13-007943PF//2Y OnSite Service*upgrade
ACX13-007990PF//3Y Extension
 5Y OnSite Service*upgrade
ACX13-0079H0PF//2Y Extension
 4Y OnSite Service*upgrade
ACX14-010334PF//2Y Extension
ACX14-010344PF//3Y Extension
ACX15-011100PF//1Y Extension
 3Y OnSite Service
 3Y Storage Retention*upgrade
ACX15-022200PF//2Y OnSite Service*upgrade
 2Y Storage Retention*upgrade
ACX15-022210PF//2Y Extension
 4Y OnSite Service
 4Y Storage Retention*upgrade
ACX15-022220PF//3Y Extension
 5Y OnSite Service
 5Y Storage Retention*upgrade
*If you would like to know the details, please contact your sales teams.",65% (Inkwell Grey)、60% (White) PCR recycled plastic front bezel,65% (Inkwell Grey)、60% (White) PCR recycled plastic I/O bezel,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
